probe,log2FC,mean_OA,mean_Normal,p_value,t_statistic,adj_p_value,-log10p,gene_symbol
203815_at,1.1417246405169772,527.3905649999999,239.02261444444446,0.059589153147073484,2.0546998484991086,0.2418145383392343,1.2248327865196056,GSTT1
213357_at,0.5586855260928796,955.5224999999998,648.7237777777777,0.05959154489148823,2.0451581050846888,0.2418145383392343,1.224815355485576,GTF2H5
200677_at,0.18906032996064093,5054.768000000001,4433.925555555556,0.059599041626310405,2.0587825194298746,0.2418145383392343,1.22476072381264,PTTG1IP
210663_s_at,0.678767549488006,1020.1195000000001,637.2673333333333,0.059612114188552695,2.0586887405314362,0.2418235464160786,1.224665475316304,KYNU
213943_at,-0.9990568500998933,223.3518,446.41166666666663,0.05967755730644244,-2.1596408992331164,0.2419490611382029,1.2241889615079715,TWIST1
205756_s_at,0.5425757803261405,717.3966999999999,492.5244444444445,0.05969649259823371,2.0662257112606155,0.2419490611382029,1.2240511846156952,F8
218046_s_at,0.5158384415251587,510.2894,356.8894444444444,0.05969685191139791,2.0903342067521407,0.2419490611382029,1.2240485706052555,MRPS16
219439_at,0.49289443158385793,517.904,368.02155555555555,0.05972583578112127,2.0281149878187503,0.24197233227943638,1.223837764180188,C1GALT1
211267_at,1.3438320971002338,21.738134,8.564233333333332,0.059732271786328124,2.13807099396706,0.24197233227943638,1.2237909674979626,HESX1
221699_s_at,0.2279820291574385,1369.1499,1169.019,0.059794800092330506,2.0319004893350834,0.24212384707566795,1.2233365817205824,DDX50
214921_at,-0.39985315681481376,63.717290000000006,84.06691111111111,0.05981077666438138,-2.0257544322426595,0.24214453786562687,1.2232205580817046,KCNMA1
216527_at,-0.8639745643561607,19.155888,34.86458888888889,0.05984787533953202,-2.0226411671238824,0.24222765249390235,1.2229512628798906,HCG18
214775_at,-0.5565821068892081,117.46133999999999,172.75986666666665,0.0598639178873545,-2.1530513207134283,0.24222765249390235,1.2228348634868338,N4BP3
202438_x_at,-0.4353139016525332,77.77933,105.17360000000001,0.05989780065525224,-2.04439790183298,0.24232075018173305,1.2225891238681765,IDS
216562_at,0.8242346827384991,68.88785,38.90659888888889,0.05994476804811994,2.0581825962011164,0.24246673922967085,1.2222487159343876,216562_at
211603_s_at,-1.070686957207046,24.93275,52.36957777777778,0.05996974057298892,-2.15417862306707,0.2425237258054287,1.2220678299009744,ETV4
208024_s_at,0.5392831136520289,989.9408000000001,681.1908888888888,0.06009147587940356,2.0214154131537327,0.2428985496005877,1.2211871293465613,DGCR6L
201863_at,0.2993335158951559,1489.58,1210.4740000000002,0.060141807345611135,2.013951338589636,0.2428985496005877,1.2208235248814654,FAM32A
208250_s_at,0.3370297337902879,192.2313,152.18366666666668,0.06014951462892066,2.05080602897857,0.2428985496005877,1.2207678728101201,DMBT1
215474_at,-1.6870009589712243,4.662359,15.012174444444447,0.060161403858774005,-2.096875950209317,0.2428985496005877,1.220682038091192,215474_at
220246_at,-0.5308918100186024,138.74473,200.46144444444445,0.06016669663841186,-2.0242405232600196,0.2428985496005877,1.2206438321362632,CAMK1D
212738_at,-0.8876294355525163,77.75459,143.85637777777777,0.060171430857391024,-2.073350347949515,0.2428985496005877,1.2206096610016008,ARHGAP19
216026_s_at,-0.3406980532914784,164.71499999999997,208.59000000000003,0.060197803586387266,-2.0135112778759687,0.24296099571010096,1.2204193543852633,POLE
219856_at,-0.42851233546628803,4.625028,6.2245711111111115,0.06021865435728951,-2.037308688895536,0.2430011363715107,1.220268953435237,C1orf116
207134_x_at,0.8533753104634225,3172.6230000000005,1756.0096666666666,0.06023807242704768,2.0129423673823585,0.2430354821459177,1.2201289336813657,TPSB2
212706_at,-0.8881658359413933,243.1968,450.1138888888888,0.06027548681895853,-2.1642081901265953,0.24314240999037887,1.2198592733282179,LOC102724229
202248_at,-0.47292727317132055,165.2054,229.29233333333332,0.06030056262261264,-2.0767496391938405,0.24319953609405925,1.2196786357411729,E2F4
217125_at,0.6121368784582412,84.94244,55.57163444444444,0.060337652903900765,2.06491665756484,0.2432808124441746,1.219411587609983,UBBP2
208782_at,-0.19996203294203782,9720.155,11165.232222222221,0.060342550391731496,-2.0853583157045965,0.2432808124441746,1.2193763382172382,FSTL1
216129_at,-1.3915865066178459,21.218982,55.671615555555555,0.060386476686245805,-2.1347368279002645,0.2433698426477872,1.2190603090298662,ATP9A
214800_x_at,-0.5682326641272856,1262.7894000000001,1872.3455555555556,0.060432248797700774,-2.090548906921939,0.24346624479464227,1.2187312445359086,BTF3
214148_at,-0.3962593992340802,173.7817,228.71255555555555,0.06048780328069398,-2.0133384718266236,0.24360197370390457,1.2183321873623167,LOC100507424
206869_at,1.2293978219413961,20.270598999999997,8.645317777777779,0.060513210955659466,2.1325567911332035,0.24360779509993485,1.2181498018960903,CHAD
218961_s_at,0.24491803903590975,351.83050000000003,296.897,0.060514644401293005,2.012316188912312,0.24360779509993485,1.2181395143878644,PNKP
206223_at,-0.7817017891518996,36.10752,62.07451666666667,0.060553922536832235,-2.086826793443171,0.24369208161246753,1.2178577190622233,LMTK2
218291_at,0.4395941786018286,860.0544,634.1542222222222,0.06058789359567043,2.010016614820106,0.24374686378647709,1.2176141459632623,LAMTOR2
202081_at,-1.147728727987099,3340.3419999999996,7401.022222222222,0.06058941248993836,-2.150870305373073,0.24374686378647709,1.2176032586540706,IER2
213578_at,0.4522748433706792,403.9299,295.2281111111111,0.06069354696813932,2.011855212261985,0.24403483815932087,1.2168574813317816,BMPR1A
211920_at,-0.7611988659263355,16.945833,28.721466666666668,0.0606938506071425,-2.0723941156745713,0.24403483815932087,1.2168553086392913,CFB
208070_s_at,-0.5217947548600597,669.2194000000001,960.8252222222222,0.06079549253930898,-2.0599230648844458,0.24427662584035098,1.2161286187185807,REV3L
204375_at,-0.49868254723207883,167.42380000000003,236.55688888888892,0.0609668863214708,-2.111998017419301,0.24473520589107076,1.2149059845407166,CLSTN3
220999_s_at,0.5454345778123554,121.05461,82.94480000000001,0.06098001783513877,2.0184626163657957,0.2447438287860946,1.2148124529502835,CYFIP2
222246_at,-1.1244838401941324,9.557948,20.838575555555554,0.06099715876759869,-2.075867518763783,0.2447542766319314,1.2146903938464684,222246_at
