gene_symbol,meta_p_value,meta_log2FC,n_datasets,datasets,all_same_direction,n_up,n_down,meta_adj_p_value,-log10_meta_p
PSMB1,0.00011425182470192752,-1.2045838601705965,3,GSE55235;GSE12021;GSE55457,True,0,3,0.000998217391012619,3.9421368551386364
BHLHE40,0.00011428845445315972,-1.1306414694916838,3,GSE55235;GSE12021;GSE55457,True,0,3,0.000998217391012619,3.9419976403006336
ITPR3,0.0001146815706803972,-0.7022093107660726,3,GSE55235;GSE12021;GSE55457,True,0,3,0.001000548393426065,3.9405063675815173
TPMT,0.00011469598184410401,0.6125761951783355,3,GSE55235;GSE12021;GSE55457,True,3,0,0.001000548393426065,3.9404517965146013
216538_at,0.00011500236294670341,-0.8499282403688259,3,GSE55235;GSE12021;GSE55457,True,0,3,0.001002606384807412,3.939293236131854
IQSEC1,0.00011516984406056974,0.5038533156309869,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0010034516480672297,3.938661221195232
PTPRH,0.00011540707533574945,-0.48474866485076523,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0010044182140789746,3.937767564793119
ARGLU1,0.00011542196935754312,-0.6276340971537101,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0010044182140789746,3.9377115199267037
UPF1,0.00011606814647124875,-0.7718880374051508,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0010090168053447947,3.9352869508889468
RAD52,0.00011609224840802845,-0.2734154230495188,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0010090168053447947,3.9351967775569308
SNX7,0.0001169392024376048,0.4976087346204505,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0010157576143359226,3.9320398725145416
ST6GAL1,0.00011737302431258367,-1.0370728835077072,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0010189038376567665,3.9304317049483184
MAU2,0.00011753043165452226,-1.3876906260965731,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0010196481595003309,3.929849668809552
AGFG2,0.00011767539455453946,-0.4538305076079073,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0010202836768567868,3.9293143368703367
ESR1,0.00011784341515441721,-0.4474045728876706,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0010209619392028777,3.9286946799364166
RSRC2,0.00011789713706145122,-0.33145981459988316,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0010209619392028777,3.9284967409058447
LOC100505585,0.00011815419410621253,-0.46572153486718443,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0010225656166321117,3.927550857655346
NAMPT,0.00011849057807378216,-2.300395093245156,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0010243769858506613,3.926316181748788
BICC1,0.000118507486555397,-0.2365106802780194,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0010243769858506613,3.9262542128016014
NUDT11,0.00011931673174736535,1.055421608921393,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0010307458769286666,3.92329865108205
GDI1,0.00011939234769731133,-0.2571152925173037,3,GSE55235;GSE12021;GSE55457,True,0,3,0.001030773254270234,3.923023507874425
ETS2,0.00011959800355576533,-0.9290899166846801,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0010319226164896477,3.922276069945863
CREBZF,0.00012105374162485472,-0.6589498296832543,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0010434332869256081,3.9170217824972204
